id,fecha,producto,cantidad,precio_unitario
1,2025-01-01,Medialuna,5,450
2,2025-01-01,Gaseosa,1,1200
3,2025-01-02,Alfajor,5,700
4,2025-01-02,Sandwich,5,2500
5,2025-01-02,Sandwich,4,2500
6,2025-01-03,Medialuna,1,450
7,2025-01-03,Gaseosa,1,1200
8,2025-01-03,Medialuna,1,450
9,2025-01-03,Medialuna,4,450
10,2025-01-03,Gaseosa,2,1200
11,2025-01-03,Medialuna,3,450
12,2025-01-04,Alfajor,5,700
13,2025-01-04,Gaseosa,3,1200
14,2025-01-04,Cafe,5,800
15,2025-01-04,Medialuna,4,450
16,2025-01-05,Alfajor,5,700
17,2025-01-05,Medialuna,3,450
18,2025-01-05,Medialuna,4,450
19,2025-01-06,Medialuna,5,450
20,2025-01-06,Sandwich,1,2500
21,2025-01-07,Sandwich,5,2500
22,2025-01-07,Alfajor,4,700
23,2025-01-07,Alfajor,3,700
24,2025-01-07,Alfajor,5,700
25,2025-01-07,Alfajor,4,700
26,2025-01-08,Sandwich,1,2500
27,2025-01-08,Gaseosa,2,1200
28,2025-01-08,Alfajor,5,700
29,2025-01-08,Alfajor,1,700
30,2025-01-08,Agua,4,900
31,2025-01-08,Medialuna,4,450
32,2025-01-09,Alfajor,1,700
33,2025-01-09,Gaseosa,4,1200
34,2025-01-09,Gaseosa,5,1200
35,2025-01-10,Gaseosa,3,1200
36,2025-01-10,Sandwich,5,2500
37,2025-01-10,Agua,4,900
38,2025-01-10,Medialuna,3,450
39,2025-01-11,Cafe,2,800
40,2025-01-11,Gaseosa,5,1200
41,2025-01-11,Jugo,5,1100
42,2025-01-11,Alfajor,3,700
43,2025-01-12,Te,4,600
44,2025-01-12,Medialuna,4,450
45,2025-01-12,Alfajor,5,700
46,2025-01-13,Alfajor,3,700
47,2025-01-13,Medialuna,1,450
48,2025-01-14,Agua,5,900
49,2025-01-14,Te,2,600
50,2025-01-14,Jugo,4,1100
51,2025-01-14,Jugo,3,1100
52,2025-01-14,Alfajor,3,700
53,2025-01-15,Cafe,4,800
54,2025-01-15,Cafe,1,800
55,2025-01-16,Cafe,5,800
56,2025-01-16,Sandwich,1,2500
57,2025-01-17,Alfajor,2,700
58,2025-01-17,Cafe,1,800
59,2025-01-17,Agua,3,900
60,2025-01-17,Gaseosa,3,1200
61,2025-01-17,Cafe,3,800
62,2025-01-17,Gaseosa,5,1200
63,2025-01-18,Agua,2,900
64,2025-01-18,Sandwich,4,2500
65,2025-01-18,Gaseosa,5,1200
